ID_PAC |idcliente| nombre_Cte|FECHA_AUT_PAC|PLAZO LÍNEA |FECHA VENCIMIENTO | MONTO (SALDO) | TOTAL LINEAS BANCO  |DÍAS  VENCIDO|MES DE VENCIMIENTO |NO. EMPLEADO|ESTATUS LINEA
7413|1000032428|DISTRIBUIDORA DE SEMILLAS E INSUMOS DE TECUALA S.A.de C.V. |05/02/2016|12|05/02/2017|$782,382| 7,000,000 |-367|febrero|B01349 |0
23172|1000023728|EMPRESAS BENGON S.A.de C.V. |27/04/2017|12|27/04/2018|$14,099,275| 14,000,000 |79|abril|B01643|0
8460|1000063812|FEJUM SACV |26/08/2016|12|26/08/2017|$2,143,111| 6,400,000 |-165|agosto|B01296|0
9594|1000031997|FOTOSINTESIS MEDIA S.A.P.I de C.V. |02/02/2017|12|02/02/2018|$6,519,464| 8,000,000 |-5|febrero|B01661|0
9815|1000016117|GANADERA COATEPETL S.R.L. |21/04/2017|12|21/04/2018|| 5,000,000 |73|abril|B01518|0
8864|1000117197|GRANOS Y FRUTAS SELECTAS S.P.R. de R.L. |08/11/2016|12|08/11/2017|$6,054,743| 7,000,000 |-91|noviembre|B00779|0
9383|1000096204|GRUPO GUROMED SACV |23/01/2017|12|23/01/2018|$5,059,500| 5,000,000 |-15|enero|B01296|0
9577|1000105654|GRUPO VARITECH S.A.de C.V. |08/03/2017|12|08/03/2018|$2,254,886| 3,000,000 |29|marzo|B01296|0
9589|1000095930|HABITANT GROUP S.A.de C.V. |27/03/2017|12|27/03/2018|| 3,000,000 |48|marzo|B01661|0
9273|1000026086|HENRY BRONSOLER KRUMHOLZ |07/12/2016|12|07/12/2017|| 25,000,000 |-62|diciembre|B01518|0
9123|1000122277|IMAGINA LEASING S.A.P.I de C.V. |19/12/2016|12|19/12/2017|$4,123,390| 20,000,000 |-50|diciembre|B01296|0
9144|1000112771|INDUSTRIAS ACRILAN S.A.de C.V. |23/11/2016|12|23/11/2017|| 4,000,000 |-76|noviembre|B01661|0
23247|1000085346|INMUEBLES Y ADMINISTRACION CANTABRICO  S.A.de C.V. |24/04/2017|12|24/04/2018|$3,404,581| 4,300,000 |76|abril|B01661|0
8717|1000014741|INTEGRACION AGROPECUARIA DEL NORTE DE NAYARIT S.P.R. de R.L. |08/11/2016|12|08/11/2017|$3,198,404| 4,000,000 |-91|noviembre|B01518|0
8975|1000120079|INTERNACIONAL AGROINDUSTRIAL ORGANICA S.A.de C.V. |15/11/2016|12|15/11/2017|$3,498,077| 5,000,000 |-84|noviembre|B00779|0
8299|1000111378|LOGISTICA LAS PUENTES S.A.de C.V. |27/07/2016|12|27/07/2017|$1,120,133| 3,000,000 |-195|julio|B01643|0
9671|1000128006|LUSITANO FG SAPISOFOM |27/02/2017|12|27/02/2018|| 15,000,000 |20|febrero|B01296|0
9850|1000034661|M ARCOS [[Ampersand]] M ARCOS DE MEXICO S.A.de C.V. |10/05/2017|12|10/05/2018|$3,536,438| 3,500,000 |92|mayo|B01643|0
9234|1000120679|MARIO  ALBERTO  ESCUTIA  BARRAZA  S.A.de C.V. |06/12/2016|12|06/12/2017|| 967,000 |-63|diciembre|B01518|0
9768|1000016446|NYLFLOCK DE MEXICO S.A.de C.V. |29/03/2017|12|29/03/2018|| 3,750,000 |50|marzo|B00156 |0
9702|1000106203|POSABRO S.A.de C.V. |13/03/2017|12|13/03/2018|$17,413,002| 15,000,000 |34|marzo|B01643|0
8581|1000111833|POVA TRANSPORT S.A.de C.V. |11/08/2016|12|11/08/2017|$1,847,788| 3,000,000 |-180|agosto|B01643|0
9555|1000032564|PRODIAZA S.A.de C.V. |03/02/2017|12|03/02/2018|$2,190,286| 4,000,000 |-4|febrero|B01661|0
8759|1000117199|PRODUCTORA AGROPECUARIA ORNELAS S.P.R. de R.L. |17/10/2016|12|17/10/2017|$1,242,560| 6,083,000 |-113|octubre|B00779|0
9303|1000119877|Prolimco  S.A.de C.V. |06/12/2016|12|06/12/2017|$553,488| 675,000 |-63|diciembre|B01661|0
9269|1000086721|PROVEEDOR DE ALIMENTOS Y RESTAURANTERO DE JALISCO S.A.de C.V. |06/12/2016|12|06/12/2017|$8,711,008| 13,971,000 |-63|diciembre|B01643|0
23354|1000031089|RAFAEL MARCELO LOZANO GONZALEZ|24/05/2017|12|24/05/2018|$3,315,522| 3,300,000 |106|mayo|B01518|0
9643|1000003217|RESTAURANTES SANTA FE S.A.de C.V. |27/02/2017|12|27/02/2018|$11,184,422| 12,500,000 |20|febrero|B01661|0
9717|1000030944|SEÑOR PISTACHO S.A.de C.V. |24/04/2017|12|24/04/2018|$28,956,251| 30,000,000 |76|abril|B01296|0
23176|1000108835|SOLUCIONES CREATIVAS EMPRESARIALES Y PROFESIONALES  S.A.de C.V. |24/05/2017|12|24/05/2018|$25,087,006| 25,000,000 |106|mayo|B01643|0
9219|1000031155|SPROUT SOLUTIONS S.A.de C.V. |15/12/2016|12|15/12/2017|$1,356,419| 3,000,000 |-54|diciembre|B01296|0
9414|1000123092|TECNOLOGIA DE EMPAQUES S.A.de C.V. |03/01/2017|12|03/01/2018|$1,568,042| 3,000,000 |-35|enero|B01643|0
5961|1000000381|TECNORIEGOS DEL PACIFICO S.A. de C.V. |10/06/2015|12|10/06/2016|$2,638,728| 3,595,000 |-607|junio|B00779|0
23323|1000009842|Telecomunicaciones CAPAGA S.A.de C.V. |25/05/2017|12|25/05/2018|$2,371,247| 13,333,000 |107|mayo|B01296|0
9645|1000086053|TRANSPORTES CHUVIALCO S.A.de C.V. |22/02/2017|12|22/02/2018|$15,596,992| 21,022,000 |15|febrero|B01643|0
5115|1000030881|TRANSPORTES TURISTICOS DE LA BAHIA S.A.de C.V. |22/10/2014|12|22/10/2015|$2,446,360| 5,780,000 |-839|octubre|B00779|0
9917|1000133677|Unitrac  S.A.de C.V. |19/04/2017|12|19/04/2018|| 10,000,000 |71|abril|B01661|0
8991|1000064017|YELLOW PHONE S.A.de C.V. |18/11/2016|12|18/11/2017|$473,198| 1,500,000 |-81|noviembre|B01643|0
